id,registration,first_seen,last_seen,times_seen,reason
2849,9H-WDR,2025-06-03 09:32,2025-06-03 09:32,1,
2848,SP-RSR,2025-06-03 09:27,2025-06-03 09:27,1,
2847,OE-LSN,2025-06-03 09:26,2025-06-03 09:26,1,
2838,9H-QDJ,2025-06-03 09:24,2025-06-03 09:24,1,
2835,SP-RZA,2025-06-03 08:50,2025-06-03 08:50,1,
2837,SP-RZA,2025-06-03 08:45,2025-06-03 08:45,1,
2830,EI-EST,2025-06-03 08:43,2025-06-03 08:43,1,
2836,YL-AAX,2025-06-03 08:40,2025-06-03 08:40,1,
2834,PH-EXL,2025-06-03 08:37,2025-06-03 08:37,1,
2833,N57016,2025-06-03 08:35,2025-06-03 08:35,1,
2832,D-AENF,2025-06-03 08:34,2025-06-03 08:34,1,
2831,B-327V,2025-06-03 08:06,2025-06-03 08:06,1,
2828,C-FIVQ,2025-06-03 07:47,2025-06-03 07:47,1,
2829,OE-LQC,2025-06-03 07:42,2025-06-03 07:42,1,
2827,HA-LGV,2025-06-02 23:34,2025-06-02 23:34,1,
2825,TC-JHZ,2025-06-02 23:00,2025-06-02 23:00,1,
2823,G-TTNS,2025-06-02 22:57,2025-06-02 22:57,1,
2819,G-RUKJ,2025-06-02 22:30,2025-06-02 22:30,1,
2826,OE-ISC,2025-06-02 22:23,2025-06-02 22:23,1,
2821,9H-QCK,2025-06-02 22:13,2025-06-02 22:13,1,
2822,EI-DEJ,2025-06-02 22:13,2025-06-02 22:13,1,
2820,OE-ISC,2025-06-02 21:14,2025-06-02 21:14,1,
2824,9H-AML,2025-06-02 21:10,2025-06-02 21:10,1,
2813,OE-LBK,2025-06-02 20:43,2025-06-02 20:43,1,
2811,G-EJCK,2025-06-02 20:35,2025-06-02 20:35,1,
2818,G-TNEG,2025-06-02 20:35,2025-06-02 20:35,1,
2810,9H-EWC,2025-06-02 20:24,2025-06-02 20:24,1,
2812,EI-IHO,2025-06-02 20:05,2025-06-02 20:05,1,
2815,9H-EWC,2025-06-02 19:55,2025-06-02 19:55,1,
2816,9H-EWC,2025-06-02 19:55,2025-06-02 19:55,1,
2814,CN-RGW,2025-06-02 19:22,2025-06-02 19:22,1,
2817,G-NEOP,2025-06-02 19:20,2025-06-02 19:20,1,
2809,SE-RTH,2025-06-02 19:20,2025-06-02 19:20,1,
2808,G-TNEG,2025-06-02 19:18,2025-06-02 19:18,1,
2806,9H-SWC,2025-06-02 18:50,2025-06-02 18:50,1,
2805,D-AIZB,2025-06-02 18:50,2025-06-02 18:50,1,
2804,A6-BNA,2025-06-02 18:47,2025-06-02 18:47,1,
2807,G-EZBU,2025-06-02 18:02,2025-06-02 18:02,1,
2803,EI-EMM,2025-06-02 17:13,2025-06-02 17:13,1,
2802,EI-ENO,2025-06-02 17:12,2025-06-02 17:12,1,
2801,G-EZBU,2025-06-02 17:03,2025-06-02 17:03,1,
2800,CS-TNK,2025-06-02 17:02,2025-06-02 17:02,1,
2797,D-AEWR,2025-06-02 16:20,2025-06-02 16:20,1,
2798,G-LCYM,2025-06-02 16:20,2025-06-02 16:20,1,
2796,EC-NGL,2025-06-02 15:28,2025-06-02 15:28,1,
2795,SU-GEG,2025-06-02 15:22,2025-06-02 15:22,1,
2799,G-TTNK,2025-06-02 15:15,2025-06-02 15:15,1,
2792,OE-IDS,2025-06-02 15:00,2025-06-02 15:00,1,
2794,TC-RBA,2025-06-02 15:00,2025-06-02 15:00,1,
2793,D-AIDN,2025-06-02 14:57,2025-06-02 14:57,1,
2791,G-EZTY,2025-06-02 14:41,2025-06-02 14:41,1,
2790,OO-SNP,2025-06-02 14:18,2025-06-02 14:18,1,
2789,OE-IDS,2025-06-02 14:01,2025-06-02 14:01,1,
2788,G-EZTY,2025-06-02 13:42,2025-06-02 13:42,1,
2787,N795UA,2025-06-02 13:28,2025-06-02 13:28,1,
2786,EI-DHC,2025-06-02 13:20,2025-06-02 13:20,1,
2785,CS-TKH,2025-06-02 13:11,2025-06-02 13:11,1,
2784,A6-EEI,2025-06-02 12:57,2025-06-02 12:57,1,
2783,G-HLYH,2025-06-02 12:44,2025-06-02 12:44,1,
2780,D-AIDM,2025-06-02 12:35,2025-06-02 12:35,1,
2779,TC-RDP,2025-06-02 12:32,2025-06-02 12:32,1,
2782,N216UA,2025-06-02 12:22,2025-06-02 12:22,1,
2778,SP-LWG,2025-06-02 12:20,2025-06-02 12:20,1,
2777,YR-BEE,2025-06-02 12:10,2025-06-02 12:10,1,
2776,D-AIEF,2025-06-02 12:07,2025-06-02 12:07,1,
2781,OE-LKO,2025-06-02 12:04,2025-06-02 12:04,1,
2775,F-GTAQ,2025-06-02 11:57,2025-06-02 11:57,1,
2774,G-HLYH,2025-06-02 11:33,2025-06-02 11:33,1,
2773,N802NW,2025-06-02 11:22,2025-06-02 11:22,1,
2772,OE-LKO,2025-06-02 10:55,2025-06-02 10:55,1,
2771,PH-BCK,2025-06-02 10:35,2025-06-02 10:35,1,
2770,N783AN,2025-06-02 10:28,2025-06-02 10:28,1,
2769,G-EZTT,2025-06-02 10:25,2025-06-02 10:25,1,
2768,TC-LOF,2025-06-02 10:25,2025-06-02 10:25,1,
2767,EI-DPY,2025-06-02 09:50,2025-06-02 09:50,1,
2766,9H-QFO,2025-06-02 09:39,2025-06-02 09:39,1,
2765,YU-APH,2025-06-02 09:14,2025-06-02 09:14,1,
2764,F-GKXR,2025-06-02 09:01,2025-06-02 09:01,1,
2763,SP-RZQ,2025-06-02 08:49,2025-06-02 08:49,1,
2762,EC-MTN,2025-06-02 08:44,2025-06-02 08:44,1,
2761,B-32DM,2025-06-02 08:15,2025-06-02 08:15,1,
2760,B-1072,2025-06-02 08:02,2025-06-02 08:02,1,
2758,N26909,2025-06-02 07:58,2025-06-02 07:58,1,
2759,B-LQD,2025-06-02 07:55,2025-06-02 07:55,1,
2757,C-FIVX,2025-06-02 07:52,2025-06-02 07:52,1,
2755,A6-BMA,2025-06-02 07:07,2025-06-02 07:07,1,
2756,N884AA,2025-06-02 07:04,2025-06-02 07:04,1,
2754,N407DX,2025-06-02 06:47,2025-06-02 06:47,1,
2753,N752AN,2025-06-02 06:15,2025-06-02 06:15,1,
2752,9V-SJC,2025-06-02 06:04,2025-06-02 06:04,1,
2751,D-AIZD,2025-06-02 00:51,2025-06-02 00:51,1,
2750,G-UZMF,2025-06-02 00:49,2025-06-02 00:49,1,
2747,EI-EIE,2025-06-01 23:45,2025-06-01 23:45,1,
2748,G-UZMF,2025-06-01 23:40,2025-06-01 23:40,1,
2749,F-HXSM,2025-06-01 23:24,2025-06-01 23:24,1,
2746,EI-IGZ,2025-06-01 23:21,2025-06-01 23:21,1,
2745,G-EUUM,2025-06-01 23:20,2025-06-01 23:20,1,
2743,G-TTNE,2025-06-01 22:50,2025-06-01 22:50,1,
2744,TC-JVR,2025-06-01 22:44,2025-06-01 22:44,1,
2741,G-TTNC,2025-06-01 22:25,2025-06-01 22:25,1,
2742,OE-LQR,2025-06-01 21:57,2025-06-01 21:57,1,
2740,OE-LBF,2025-06-01 21:47,2025-06-01 21:47,1,
2739,9H-WNR,2025-06-01 21:45,2025-06-01 21:45,1,
2735,TF-PPE,2025-06-01 21:30,2025-06-01 21:30,1,
2732,EI-DYO,2025-06-01 21:08,2025-06-01 21:08,1,
2733,OY-RUU,2025-06-01 21:01,2025-06-01 21:01,1,
2734,OE-LQR,2025-06-01 20:58,2025-06-01 20:58,1,
2738,OY-RUU,2025-06-01 20:46,2025-06-01 20:46,1,
2737,G-LCYT,2025-06-01 20:35,2025-06-01 20:35,1,
2736,CN-ROU,2025-06-01 20:27,2025-06-01 20:27,1,
2729,YU-APO,2025-06-01 20:20,2025-06-01 20:20,1,
2730,SE-RPD,2025-06-01 20:05,2025-06-01 20:05,1,
2731,LN-ENM,2025-06-01 19:55,2025-06-01 19:55,1,
2727,OY-JZT,2025-06-01 19:37,2025-06-01 19:37,1,
2728,PH-HBK,2025-06-01 19:30,2025-06-01 19:30,1,
2726,A6-BLZ,2025-06-01 18:59,2025-06-01 18:59,1,
2725,G-TTOB,2025-06-01 18:55,2025-06-01 18:55,1,
2724,7T-VKG,2025-06-01 18:49,2025-06-01 18:49,1,
2723,9H-QCR,2025-06-01 18:33,2025-06-01 18:33,1,
2722,JY-AYV,2025-06-01 17:50,2025-06-01 17:50,1,
