id,registration,first_seen,last_seen,times_seen,reason
2161,EI-DWG,2025-06-04 00:18,2025-06-04 00:18,1,
2162,A6-EFO,2025-06-04 00:04,2025-06-04 00:04,1,
2159,F-GZHT,2025-06-03 23:55,2025-06-03 23:55,1,
2160,SX-DGE,2025-06-03 23:55,2025-06-03 23:55,1,
2158,EI-IKK,2025-06-03 23:46,2025-06-03 23:46,1,
2157,F-GKXS,2025-06-03 23:16,2025-06-03 23:16,1,
2156,D-AIUI,2025-06-03 22:27,2025-06-03 22:27,1,
2155,EI-HMT,2025-06-03 22:17,2025-06-03 22:17,1,
2152,G-UZHA,2025-06-03 21:05,2025-06-03 21:05,1,
2151,9H-QBY,2025-06-03 20:42,2025-06-03 20:42,1,
2154,EC-MNB,2025-06-03 20:15,2025-06-03 20:15,1,
2149,9H-VUI,2025-06-03 20:10,2025-06-03 20:10,1,
2153,CS-TPW,2025-06-03 20:00,2025-06-03 20:00,1,
2150,9H-WNV,2025-06-03 19:55,2025-06-03 19:55,1,
2148,A6-EWE,2025-06-03 19:53,2025-06-03 19:53,1,
2146,EI-DLY,2025-06-03 19:15,2025-06-03 19:15,1,
2145,HB-IJL,2025-06-03 19:00,2025-06-03 19:00,1,
2147,EC-NNV,2025-06-03 19:00,2025-06-03 19:00,1,
2144,A7-BFJ,2025-06-03 17:16,2025-06-03 17:16,1,
2143,TC-JOH,2025-06-03 16:05,2025-06-03 16:05,1,
2142,F-HEPG,2025-06-03 15:49,2025-06-03 15:49,1,
2141,TC-RFF,2025-06-03 15:30,2025-06-03 15:30,1,
2139,A7-BAX,2025-06-03 13:58,2025-06-03 13:58,1,
2140,N857GT,2025-06-03 13:13,2025-06-03 13:13,1,
2138,HZ-ARB,2025-06-03 13:06,2025-06-03 13:06,1,
2136,TC-RBJ,2025-06-03 13:00,2025-06-03 13:00,1,
2135,TC-LPO,2025-06-03 12:40,2025-06-03 12:40,1,
2134,D-AIRM,2025-06-03 12:20,2025-06-03 12:20,1,
2133,9H-QCX,2025-06-03 12:10,2025-06-03 12:10,1,
2137,G-TTNR,2025-06-03 12:10,2025-06-03 12:10,1,
2132,EI-SIZ,2025-06-03 11:45,2025-06-03 11:45,1,
2131,SX-NAC,2025-06-03 11:35,2025-06-03 11:35,1,
2130,G-TTNR,2025-06-03 11:20,2025-06-03 11:20,1,
2127,EI-EFE,2025-06-03 10:51,2025-06-03 10:51,1,
2128,CC-BBC,2025-06-03 10:45,2025-06-03 10:45,1,
2126,EI-HGT,2025-06-03 10:44,2025-06-03 10:44,1,
2129,9H-LOO,2025-06-03 09:55,2025-06-03 09:55,1,
2125,4X-EKC,2025-06-03 09:38,2025-06-03 09:38,1,
2124,N827NW,2025-06-03 09:35,2025-06-03 09:35,1,
2123,EI-IGH,2025-06-03 09:30,2025-06-03 09:30,1,
2122,N885BP,2025-06-03 09:23,2025-06-03 09:23,1,
2121,HB-AYR,2025-06-03 08:58,2025-06-03 08:58,1,
2119,B-LRQ,2025-06-03 08:19,2025-06-03 08:19,1,
2120,ET-AXT,2025-06-03 08:15,2025-06-03 08:15,1,
2118,A6-BLK,2025-06-03 07:43,2025-06-03 07:43,1,
2117,A7-BHA,2025-06-03 07:18,2025-06-03 07:18,1,
2114,N793AN,2025-06-03 06:12,2025-06-03 06:12,1,
2116,C-GOFW,2025-06-03 06:08,2025-06-03 06:08,1,
2115,N782AN,2025-06-03 05:35,2025-06-03 05:35,1,
2113,EI-IJI,2025-06-03 00:54,2025-06-03 00:54,1,
2112,9H-QDJ,2025-06-02 22:45,2025-06-02 22:45,1,
2111,EC-NTM,2025-06-02 22:12,2025-06-02 22:12,1,
2110,TC-JVK,2025-06-02 21:50,2025-06-02 21:50,1,
2109,EI-EKG,2025-06-02 20:15,2025-06-02 20:15,1,
2105,A6-BLS,2025-06-02 20:03,2025-06-02 20:03,1,
2106,A6-EPP,2025-06-02 20:01,2025-06-02 20:01,1,
2108,G-EZGO,2025-06-02 19:54,2025-06-02 19:54,1,
2104,HA-LGU,2025-06-02 19:34,2025-06-02 19:34,1,
2107,9H-WBX,2025-06-02 19:19,2025-06-02 19:19,1,
2103,CN-RNZ,2025-06-02 19:14,2025-06-02 19:14,1,
2101,9H-QDV,2025-06-02 17:32,2025-06-02 17:32,1,
2099,9H-WNA,2025-06-02 17:15,2025-06-02 17:15,1,
2100,UK-32101,2025-06-02 17:05,2025-06-02 17:05,1,
2102,9H-WNA,2025-06-02 16:59,2025-06-02 16:59,1,
2098,TC-JIR,2025-06-02 16:19,2025-06-02 16:19,1,
2097,D-AINF,2025-06-02 16:07,2025-06-02 16:07,1,
2096,F-HEPE,2025-06-02 15:44,2025-06-02 15:44,1,
2095,HB-JXV,2025-06-02 15:43,2025-06-02 15:43,1,
2094,D-AINH,2025-06-02 14:36,2025-06-02 14:36,1,
2092,SP-LVC,2025-06-02 14:27,2025-06-02 14:27,1,
2091,A7-BAG,2025-06-02 14:09,2025-06-02 14:09,1,
2093,OE-ICD,2025-06-02 14:05,2025-06-02 14:05,1,
2090,CC-BGR,2025-06-02 13:45,2025-06-02 13:45,1,
2089,T7-ME2,2025-06-02 13:16,2025-06-02 13:16,1,
2088,OE-ICD,2025-06-02 13:00,2025-06-02 13:00,1,
2087,CS-TVK,2025-06-02 12:47,2025-06-02 12:47,1,
2086,TC-RDC,2025-06-02 12:42,2025-06-02 12:42,1,
2085,TC-LTN,2025-06-02 12:36,2025-06-02 12:36,1,
2084,G-NEOP,2025-06-02 12:20,2025-06-02 12:20,1,
2082,OY-KBT,2025-06-02 12:15,2025-06-02 12:15,1,
2081,PH-BXR,2025-06-02 11:52,2025-06-02 11:52,1,
2080,F-HZUM,2025-06-02 11:36,2025-06-02 11:36,1,
2079,G-TNEF,2025-06-02 11:31,2025-06-02 11:31,1,
2078,EI-ENV,2025-06-02 11:17,2025-06-02 11:17,1,
2077,N4076J,2025-06-02 11:02,2025-06-02 11:02,1,
2083,G-NEOU,2025-06-02 10:45,2025-06-02 10:45,1,
2075,CC-BGC,2025-06-02 10:19,2025-06-02 10:19,1,
2074,N784AN,2025-06-02 10:17,2025-06-02 10:17,1,
2076,HB-JCU,2025-06-02 10:15,2025-06-02 10:15,1,
2073,TC-JNK,2025-06-02 09:50,2025-06-02 09:50,1,
2072,EI-DPZ,2025-06-02 09:14,2025-06-02 09:14,1,
2071,HB-JCU,2025-06-02 09:12,2025-06-02 09:12,1,
2070,G-EZUA,2025-06-02 09:00,2025-06-02 09:00,1,
2069,ET-AUP,2025-06-02 08:23,2025-06-02 08:23,1,
2067,EI-HGX,2025-06-02 08:10,2025-06-02 08:10,1,
2068,EI-HGX,2025-06-02 08:01,2025-06-02 08:01,1,
2066,N722AN,2025-06-02 07:49,2025-06-02 07:49,1,
2065,N799AN,2025-06-02 05:41,2025-06-02 05:41,1,
2064,N791AN,2025-06-02 05:22,2025-06-02 05:22,1,
2063,EC-JEJ,2025-06-02 03:55,2025-06-02 03:55,1,
2062,EI-HGR,2025-06-02 01:28,2025-06-02 01:28,1,
2061,CS-TVH,2025-06-02 00:15,2025-06-02 00:15,1,
2059,SX-NES,2025-06-02 00:01,2025-06-02 00:01,1,
2060,CS-TTW,2025-06-01 22:45,2025-06-01 22:45,1,
2053,TS-IMB,2025-06-01 22:05,2025-06-01 22:05,1,
2055,TF-PPB,2025-06-01 21:45,2025-06-01 21:45,1,
2054,SP-RZQ,2025-06-01 20:55,2025-06-01 20:55,1,
2058,G-EUPP,2025-06-01 20:40,2025-06-01 20:40,1,
2056,SP-RZQ,2025-06-01 20:38,2025-06-01 20:38,1,
2057,A6-EFS,2025-06-01 20:25,2025-06-01 20:25,1,
2052,HB-JBI,2025-06-01 20:05,2025-06-01 20:05,1,
2050,HA-LWN,2025-06-01 20:00,2025-06-01 20:00,1,
2049,A6-EGJ,2025-06-01 19:53,2025-06-01 19:53,1,
2048,9H-WDL,2025-06-01 19:45,2025-06-01 19:45,1,
2047,SE-RPR,2025-06-01 19:30,2025-06-01 19:30,1,
2051,G-TTNB,2025-06-01 19:20,2025-06-01 19:20,1,
2044,PH-AXG,2025-06-01 19:16,2025-06-01 19:16,1,
